old_path,new_path,status,detail
P:/BRAIN_DRAIN/Data/01/Private.csv,P:/BRAIN_DRAIN/Data/raw/nces/Private.csv,OK,5582459 bytes
P:/BRAIN_DRAIN/Data/01/Public.csv,P:/BRAIN_DRAIN/Data/raw/nces/Public.csv,OK,42879198 bytes
P:/BRAIN_DRAIN/Data/01/unified_cbsa.csv,P:/BRAIN_DRAIN/Data/raw/census_geo/unified_cbsa.csv,OK,73507 bytes
P:/BRAIN_DRAIN/Data/02/.ArchiveServiceTemp.sb-deb9990c-ffJfij/uwdbhdlkbnzhaqxd.csv,P:/BRAIN_DRAIN/Data/_review/junk/uwdbhdlkbnzhaqxd.csv,OK,3821010463 bytes
P:/BRAIN_DRAIN/Data/02/.DS_Store,P:/BRAIN_DRAIN/Data/_review/junk/.DS_Store__02,OK,6148 bytes
P:/BRAIN_DRAIN/Data/02/2026.04.09_demographics.csv.zip,P:/BRAIN_DRAIN/Data/raw/revelio/2026.04.09_demographics.csv.zip,OK,20411614563 bytes
P:/BRAIN_DRAIN/Data/02/2026.04.09_education.csv,P:/BRAIN_DRAIN/Data/raw/revelio/2026.04.09_education.csv,OK,45919259557 bytes
P:/BRAIN_DRAIN/Data/02/both_demo.rds,P:/BRAIN_DRAIN/Data/intermediate/both_demo.rds,OK,152015510 bytes
P:/BRAIN_DRAIN/Data/02/institution_crosswalk.csv,P:/BRAIN_DRAIN/Data/intermediate/institution_crosswalk.csv,OK,2662634 bytes
P:/BRAIN_DRAIN/Data/02/inst_counts.csv,P:/BRAIN_DRAIN/Data/intermediate/inst_counts.csv,OK,609849 bytes
P:/BRAIN_DRAIN/Data/02/misfits_2.csv,P:/BRAIN_DRAIN/Data/intermediate/misfits_2.csv,OK,1970532 bytes
P:/BRAIN_DRAIN/Data/02/misfits_3.csv,P:/BRAIN_DRAIN/Data/intermediate/misfits_3.csv,OK,3673361 bytes
P:/BRAIN_DRAIN/Data/02/misfits_correction.csv,P:/BRAIN_DRAIN/Data/intermediate/misfits_correction.csv,OK,5458033 bytes
P:/BRAIN_DRAIN/Data/02/misfits_helper.xlsx,P:/BRAIN_DRAIN/Data/intermediate/misfits_helper.xlsx,OK,262892 bytes
P:/BRAIN_DRAIN/Data/02/misfit_counts.csv,P:/BRAIN_DRAIN/Data/intermediate/misfit_counts.csv,OK,6563564 bytes
P:/BRAIN_DRAIN/Data/02/raw_educ_STATES.csv,P:/BRAIN_DRAIN/Data/raw/revelio/raw_educ_STATES.csv,OK,431642743 bytes
P:/BRAIN_DRAIN/Data/02/raw_educ_STATES_AK-MD.csv,P:/BRAIN_DRAIN/Data/raw/revelio/raw_educ_STATES_AK-MD.csv,OK,5363637185 bytes
P:/BRAIN_DRAIN/Data/02/raw_educ_STATES_MI-WY.csv,P:/BRAIN_DRAIN/Data/raw/revelio/raw_educ_STATES_MI-WY.csv,OK,6161357211 bytes
P:/BRAIN_DRAIN/Data/02/sampled_MI-WY.csv,P:/BRAIN_DRAIN/Data/_review/needs_inspection/sampled_MI-WY.csv,OK,0 bytes
P:/BRAIN_DRAIN/Data/02/STATES_AK-MD.csv,P:/BRAIN_DRAIN/Data/raw/revelio/STATES_AK-MD.csv,OK,5363634621 bytes
P:/BRAIN_DRAIN/Data/02/uwdbhdlkbnzhaqxd.csv,P:/BRAIN_DRAIN/Data/intermediate/uwdbhdlkbnzhaqxd.csv,OK,69313728101 bytes
P:/BRAIN_DRAIN/Data/02/~$misfits_helper.xlsx,P:/BRAIN_DRAIN/Data/_review/junk/~$misfits_helper.xlsx,OK,165 bytes
P:/BRAIN_DRAIN/Data/03/.DS_Store,P:/BRAIN_DRAIN/Data/_review/junk/.DS_Store__03,OK,6148 bytes
P:/BRAIN_DRAIN/Data/03/2026.04.09_pos_2000.csv.zip,P:/BRAIN_DRAIN/Data/raw/revelio/2026.04.09_pos_2000.csv.zip,OK,4805750991 bytes
P:/BRAIN_DRAIN/Data/03/2026.04.09_pos_2001.csv.zip,P:/BRAIN_DRAIN/Data/raw/revelio/2026.04.09_pos_2001.csv.zip,OK,18329892305 bytes
P:/BRAIN_DRAIN/Data/03/2026.04.09_pos_2002.csv.zip,P:/BRAIN_DRAIN/Data/raw/revelio/2026.04.09_pos_2002.csv.zip,OK,18816178601 bytes
P:/BRAIN_DRAIN/Data/03/2026.04.09_pos_2003.csv.zip,P:/BRAIN_DRAIN/Data/raw/revelio/2026.04.09_pos_2003.csv.zip,OK,19142437893 bytes
P:/BRAIN_DRAIN/Data/03/2026.04.09_pos_2004.csv.zip,P:/BRAIN_DRAIN/Data/raw/revelio/2026.04.09_pos_2004.csv.zip,OK,20196948052 bytes
P:/BRAIN_DRAIN/Data/03/2026.04.09_pos_2005.csv.zip,P:/BRAIN_DRAIN/Data/raw/revelio/2026.04.09_pos_2005.csv.zip,OK,21182051918 bytes
P:/BRAIN_DRAIN/Data/03/2026.04.09_pos_2006.csv.zip,P:/BRAIN_DRAIN/Data/raw/revelio/2026.04.09_pos_2006.csv.zip,OK,22174271461 bytes
P:/BRAIN_DRAIN/Data/03/2026.04.09_pos_2007.csv.zip,P:/BRAIN_DRAIN/Data/raw/revelio/2026.04.09_pos_2007.csv.zip,OK,23407074888 bytes
